,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
8355,G. M. Sajan,0.992,0.5885,190470.5,0.2285,0.20904565,0.121,-10.4975,0.445,150.8825,0.718,0.0,10,1,4
8356,G. N. Balasubramaniam,0.9853333333333332,0.5096666666666666,157427.0,0.1913333333333333,0.7986666666666666,0.163,-14.186666666666667,0.0399333333333333,84.63799999999998,0.6256666666666667,0.0,10,0,3
8357,G. Nakos,0.9856666666666666,0.44,193214.33333333328,0.1653333333333333,0.0176850666666666,0.1123333333333333,-14.543333333333337,0.0516,111.52233333333334,0.5136666666666666,0.0,10,0,3
8358,G. Nikolaidis,0.989,0.547,208421.0,0.23,0.688,0.2,-15.208,0.0431,112.468,0.627,0.0,8,0,2
8359,G. Ntokos,0.991,0.537,237760.0,0.487,0.101,0.0888,-6.066,0.0422,138.157,0.913,0.0,7,1,2
8360,G. Siroto,0.9935,0.2745,243246.75,0.1725,0.4881200000000001,0.143725,-16.0125,0.044775,83.0945,0.1551999999999999,0.0,7,1,8
8361,G. V. Krishnamurthy,0.95275,0.6007499999999999,1772556.75,0.2325,0.0010552225,0.34375,-13.555250000000004,0.6375000000000002,103.34824999999998,0.5025000000000001,0.0,8,1,8
8362,G.C. Cameron,0.7959999999999999,0.218,205867.0,0.276,0.09,0.163,-12.727,0.0315,71.756,0.0716,22.0,5,1,2
8363,G.E. Stinson,0.647,0.5710000000000001,284046.5,0.2095,0.4012520000000001,0.09575,-18.886000000000006,0.0492,119.404,0.2725,25.5,7,1,4
8364,G.E.M.,0.225,0.557,253676.0,0.5720000000000001,0.0,0.1316,-7.0595,0.03085,120.013,0.2795,59.5,2,1,4
8365,G.H. Veeranna,0.856,0.529,192133.0,0.386,0.00125,0.442,-9.559,0.0621,111.321,0.851,0.0,0,1,2
8366,G.Kramer,0.9910000000000002,0.6752857142857144,159350.42857142858,0.2244285714285714,0.1082178457142857,0.1445714285714285,-14.504714285714288,0.2220714285714285,110.95985714285712,0.6815714285714286,6.857142857142858,9,0,7
8367,G.Q.,0.0295007,0.6718999999999999,291773.4,0.5545000000000002,0.003773693,0.0799299999999999,-12.401099999999998,0.07747,141.5699,0.7958999999999999,33.6,5,1,20
8368,G.R.L.,0.0175333333333333,0.5993333333333334,206346.66666666663,0.7606666666666667,0.0,0.4283333333333333,-5.302666666666666,0.0846666666666666,124.01766666666668,0.4096666666666667,58.66666666666666,9,1,6
8369,G.Rajasekar,0.155,0.67,224907.0,0.5329999999999999,0.0,0.227,-13.456,0.032,99.893,0.8590000000000001,0.0,5,1,2
8370,G.S. Sachdev,0.971,0.16,296307.0,0.00177,0.949,0.154,-36.022,0.0516,109.634,0.403,43.0,5,1,2
8371,G.Varalakshmi,0.995,0.4915,154960.0,0.4325,0.084485,0.385,-7.1025,0.071,86.6015,0.6655,0.0,7,1,4
8372,G.Visweswaramma,0.99,0.408,162360.0,0.0556,0.4588450000000001,0.187,-19.043,0.05645,90.6445,0.321,0.0,2,1,4
8373,G.Voukias,0.995,0.401,209453.0,0.281,0.873,0.0616,-10.958,0.0683,71.029,0.8029999999999999,0.0,4,0,1
8374,GALNERYUS,0.00825191,0.3305,202706.5,0.9265,4.27e-06,0.21035,-3.653,0.06695,176.99600000000004,0.64,54.5,11,1,4
8375,GAMPER & DADONI,0.0276,0.7559999999999999,301175.0,0.591,0.391,0.0947,-8.749,0.03,125.003,0.481,60.0,2,0,1
8376,GANZ,0.00219,0.493,290000.0,0.8059999999999999,0.101,0.261,-6.937,0.076,142.972,0.355,50.0,6,1,2
8377,GAS,0.7115,0.2769,451326.5,0.3925000000000001,0.8964999999999999,0.122,-16.9265,0.03785,100.997,0.5700000000000001,41.0,5,1,4
8378,GASHI,0.213,0.84,190345.0,0.8109999999999999,0.0,0.258,-3.2430000000000003,0.0498,145.025,0.71,67.0,11,0,1
8379,GATTÜSO,0.07275,0.654,184404.5,0.7569999999999999,0.000305415,0.149,-5.834999999999999,0.0488,126.968,0.2475,74.5,11,1,4
8380,GAWVI,0.32,0.6829999999999999,203325.0,0.63,0.0,0.222,-5.146,0.0587,159.92700000000005,0.452,60.0,1,1,1
8381,GBH,0.000365275,0.29125,161668.375,0.95475,0.00155565,0.2757125,-5.010125,0.1184749999999999,128.3145,0.357875,31.875,11,1,16
8382,GD X TAEYANG,0.000875,0.745,245192.0,0.825,0.000218,0.0828,-3.162,0.0352,95.001,0.242,63.0,1,0,2
8383,GFRIEND,0.166,0.6459999999999999,220745.0,0.923,0.0,0.0507,-1.3090000000000002,0.0613,106.086,0.703,62.0,8,1,2
8384,GG Allin,0.2992669999999999,0.4340999999999999,158512.1,0.7645000000000001,0.199034477,0.20723,-9.329999999999997,0.08304,122.50940000000004,0.6347400000000002,30.5,11,1,20
8385,GG Magree,0.0113,0.407,214733.0,0.925,0.0025,0.192,-4.155,0.0747,151.993,0.119,56.0,11,0,2
8386,GIA Singers,0.989,0.128,139333.0,0.121,0.031,0.119,-20.624,0.048,64.75,0.0788,37.0,2,1,2
8387,GIANT,0.03615,0.4845,315780.0,0.6579999999999999,0.0672205,0.073,-11.584,0.04555,120.736,0.2125,41.0,2,1,4
8388,GIT,0.096675,0.75175,254443.25,0.515,0.0047843999999999,0.126275,-13.9385,0.075875,123.31324999999995,0.76025,48.25,7,1,8
8389,GLC,0.3328333333333333,0.6325,275500.33333333326,0.7490000000000001,0.0164874466666666,0.2273333333333333,-6.399166666666666,0.2416666666666667,112.497,0.5455,55.5,11,1,6
8390,GNAR,0.141,0.762,167520.0,0.7090000000000001,0.0,0.0798,-5.332999999999998,0.337,174.041,0.537,67.0,11,1,1
8391,GOLDHOUSE,0.0344,0.425,213600.0,0.954,0.358,0.187,-2.573,0.0383,199.843,0.5720000000000001,64.0,7,1,2
8392,GOT7,0.109,0.7034999999999999,208160.75,0.78675,1.11e-06,0.15255,-3.353,0.087575,122.19,0.63775,66.25,5,0,8
8393,GRACE STARK,0.826,0.415,223933.0,0.295,3.6000000000000007e-06,0.562,-11.912,0.0769,170.632,0.334,12.0,5,1,1
8394,GRACEY,0.219,0.807,208191.0,0.443,0.0,0.105,-8.683,0.284,120.109,0.525,68.0,2,1,1
8395,GRADES,0.158,0.407,232878.0,0.403,5.98e-06,0.5529999999999999,-8.396,0.113,90.907,0.329,60.0,5,0,2
8396,GRLwood,0.0106,0.551,144109.0,0.953,0.474,0.118,-4.695,0.17,128.46200000000002,0.176,69.0,0,1,2
8397,GRiZ,0.03051,0.6562499999999999,243181.0,0.792625,0.0164637999999999,0.36785,-6.298749999999999,0.1279,93.91487500000002,0.506125,53.25,6,1,8
8398,GS Boyz,0.00277,0.7425,228060.0,0.726,0.0,0.313,-5.542000000000002,0.05535,154.281,0.7375,44.0,11,1,4
8399,GZA,0.1711352380952381,0.7105238095238096,257636.0,0.6985238095238095,0.0060398071428571,0.3017047619047619,-7.7360000000000015,0.2538761904761905,96.03261904761904,0.4647809523809524,46.71428571428572,1,1,21
8400,GZA (Genius),0.266,0.873,262973.0,0.728,0.0,0.208,-7.542999999999997,0.313,100.059,0.809,54.0,5,1,2
8401,Gabby Barrett,0.1570285714285713,0.5922857142857143,216261.0,0.5885714285714287,0.0,0.1275714285714286,-5.014142857142859,0.0326714285714285,111.856,0.4432857142857144,68.0,6,1,7
8402,Gabby Pahinui,0.6331249999999999,0.4925000000000001,225806.375,0.3405,0.033805,0.15645,-15.960625000000006,0.0382875,96.835375,0.49075,29.5,11,1,16
8403,Gabe Dixon,0.662,0.65,250120.0,0.396,0.0,0.245,-10.379,0.0263,108.962,0.435,44.0,4,1,2
8404,Gabe Real,0.196,0.305,331613.0,0.726,0.0,0.464,-6.375,0.061,82.67299999999999,0.5539999999999999,59.0,9,1,2
8405,Gabriel & Dresden,0.217,0.4920000000000001,381000.0,0.715,0.000151,0.232,-7.901,0.0478,135.039,0.175,46.0,7,1,2
8406,Gabriel Dell,0.591,0.597,115160.0,0.5329999999999999,0.0,0.468,-8.496,0.191,120.593,0.7390000000000001,12.0,5,1,1
8407,Gabriel Fauré,0.9830526315789474,0.2963842105263158,257064.2368421052,0.0926152631578947,0.6783178210526316,0.1089026315789473,-22.36271052631579,0.0433131578947368,98.04818421052632,0.1444105263157895,17.05263157894737,2,1,38
8408,Gabriela,0.221,0.779,176440.0,0.764,0.000669,0.0909,-8.217,0.0938,158.093,0.675,77.0,0,1,2
8409,Gabriela Montero,0.992,0.3389999999999999,323913.0,0.03005,0.903,0.09415,-25.58,0.0378,87.23200000000001,0.0556,51.5,3,1,4
8410,Gabriele Santini,0.9771282051282052,0.3604102564102565,218365.97435897437,0.1645756410256409,0.0286621761538461,0.2377820512820512,-15.707974358974356,0.0694948717948718,100.8498717948718,0.1812666666666667,5.564102564102564,8,1,39
8411,Gabriele Sima,0.9675,0.3175,205126.5,0.11245,0.461215,0.178,-18.7845,0.04425,131.3495,0.19885,50.5,2,1,2
8412,Gabriella,0.3215,0.5045,242933.5,0.7404999999999999,0.0,0.16455,-4.9695,0.05145,108.492,0.438,60.0,5,1,4
8413,Gabriella Flores,0.922,0.534,69813.0,0.0556,0.00024,0.11,-19.916,0.0481,92.65,0.272,60.0,0,1,1
8414,Gabriella Montez,0.3588750000000001,0.62025,163800.0,0.6084999999999998,0.0,0.13075,-7.855749999999999,0.0404,109.16125,0.38275,57.0,7,1,8
8415,Gabrielle,0.26715,0.593,222926.5,0.5615,0.0,0.0868999999999999,-5.7475000000000005,0.0334,138.1615,0.603,43.0,11,1,4
8416,Gabrielle Aplin,0.6346,0.4936,207488.8,0.4154,0.0,0.1026,-9.5442,0.04484,116.392,0.3218,64.0,11,1,5
8417,Gabry Ponte,0.2483333333333333,0.8243333333333335,262371.33333333326,0.9676666666666668,0.0001516666666666,0.4153333333333334,-11.48,0.0587,128.00433333333334,0.7530000000000001,66.33333333333333,7,0,6
8418,Gaby Casadesus,0.9918079999999998,0.425848,146038.104,0.083680784,0.8733200000000002,0.1130432,-25.29116000000001,0.056876,104.99495199999996,0.2286752,7.456,0,1,125
8419,Gaby Montbreuse,0.9933333333333332,0.5583333333333332,183991.33333333328,0.2876666666666667,1.7293333333333333e-05,0.1939999999999999,-15.415,0.1599333333333333,73.943,0.7313333333333333,0.0,10,1,6
8420,Gaby Moreno,0.622,0.591,265307.0,0.672,0.0,0.112,-3.515,0.0375,139.939,0.267,73.0,5,1,2
8421,Gaeko,0.246,0.512,229360.0,0.765,0.0,0.0573,-5.252000000000002,0.136,169.709,0.519,64.0,7,1,2
8422,Gael Garcia Bernal,0.7053333333333334,0.5913333333333334,98074.33333333331,0.3492,8.906666666666666e-05,0.2513333333333333,-11.644666666666666,0.1047,114.90466666666669,0.5146666666666667,65.33333333333333,7,1,3
8423,Gaelic Storm,0.37315,0.70075,217076.75,0.7140000000000001,4.1635e-05,0.1078,-7.84125,0.15935,135.341,0.7012499999999999,41.75,7,1,8
8424,Gaetano Donizetti,0.9692608695652172,0.3740434782608695,223078.66666666663,0.2248739130434782,0.1545430682608695,0.2141768115942028,-15.208695652173915,0.088831884057971,102.79985507246376,0.2278130434782609,2.898550724637681,10,1,69
8425,Gaetano Pugnani,0.963,0.157,226133.0,0.194,0.00747,0.316,-21.124,0.0412,95.475,0.14,0.0,2,1,1
8426,Gaetano Riccitelli,0.9849375,0.3889375000000001,204140.21875,0.2345749999999999,0.0864656553125,0.291584375,-15.52178125,0.080021875,110.248125,0.2515718750000001,0.0,9,1,32
8427,Gaither Vocal Band,0.404,0.422,189093.0,0.364,0.0,0.206,-7.733,0.0264,107.268,0.216,42.0,5,1,2
8428,Gal Costa,0.6093666666666665,0.5242666666666668,190036.21666666667,0.3268033333333333,0.0190226165,0.2213916666666666,-16.615050000000004,0.06142,109.1656,0.5729000000000002,36.3,7,1,60
8429,Gala,0.5870000000000001,0.7040000000000001,213394.0,0.861,0.0615,0.0992,-4.221,0.0493,128.99,0.636,72.0,2,0,2
8430,Galactic,0.23368,0.633,269679.8,0.6450000000000001,0.3770802,0.1468,-8.192,0.0536,132.9376,0.5234000000000001,45.6,2,1,5
8431,Galantis,0.0400872222222222,0.5938888888888889,200219.33333333328,0.8443888888888891,0.0291142666666666,0.1744722222222221,-4.001666666666666,0.0716388888888888,124.8562777777778,0.5441111111111111,67.83333333333333,6,1,18
8432,Galatasaray İz Cazı Ork.,0.956,0.355,196397.0,0.4465000000000001,0.9435,0.7805000000000001,-9.655,0.04495,106.512,0.6839999999999999,0.0,7,1,4
8433,Galaxie 500,0.1868746153846154,0.3148461538461538,261000.0,0.6201538461538463,0.4237884615384616,0.1373076923076923,-8.677076923076923,0.0326384615384615,115.67546153846158,0.3202307692307693,38.0,7,1,26
8434,Gale Garnett,0.6920000000000001,0.5820000000000001,157913.5,0.40025,1.6875e-06,0.20305,-8.643749999999999,0.03105,109.06675,0.59975,29.5,7,1,8
8435,Gali Venkateswara Rao,0.875,0.565,182427.0,0.4,1.51e-05,0.369,-7.252000000000002,0.0403,113.126,0.703,0.0,6,1,1
8436,Galimatias,0.3984999999999999,0.552125,231007.6875,0.5694374999999999,0.00036213875,0.1890625,-7.896249999999997,0.1050125,124.174,0.201625,55.5625,9,0,16
8437,Galina Vishnevskaya,0.884,0.133,456320.0,0.251,0.138,0.0991,-18.661,0.0428,82.416,0.0744,17.0,9,1,1
8438,Galipenchala Narashima Rao,0.679,0.466,135320.0,0.7340000000000001,0.573,0.101,-5.183,0.176,141.836,0.925,0.0,2,1,1
8439,Gallant,0.42195,0.3695,215280.0,0.4295,6.45e-06,0.1535,-4.797499999999999,0.0659,170.324,0.424,60.5,5,0,4
8440,Gallego,0.1805,0.6970000000000001,280608.5,0.8305,0.0,0.0972,-4.484,0.1746,94.1425,0.7170000000000001,57.0,2,1,2
8441,Galliano Masini,0.925181818181818,0.3957272727272727,180529.81818181815,0.2897272727272728,0.0966435454545454,0.2492636363636364,-11.119909090909092,0.0972636363636363,89.41618181818183,0.1993545454545454,0.0,0,0,11
8442,Gallucci,0.9295,0.5395000000000001,153120.0,0.391,0.167045,0.2955,-12.288,0.04555,117.47050000000002,0.8130000000000001,0.0,3,1,4
8443,Galt MacDermot,0.2416461538461538,0.5932307692307692,187603.15384615387,0.6308461538461541,0.0018689538461538,0.2897692307692308,-10.340769230769231,0.1049384615384615,117.09761538461538,0.5494615384615383,41.53846153846154,7,1,13
8444,Galy Galiano,0.30766,0.6105999999999998,247665.6,0.5846,0.000215262,0.283,-7.9868,0.0295999999999999,115.3212,0.6811999999999999,40.4,2,1,10
8445,Gambino,0.17,0.526,209093.0,0.893,0.0,0.186,-6.1110000000000015,0.418,174.555,0.44,42.0,10,0,2
8446,Game of Thrones,0.00413,0.507,211267.0,0.644,0.0,0.217,-7.485,0.0641,179.91299999999995,0.172,70.0,4,1,2
8447,Ganapathibhat,0.95275,0.60075,1772556.75,0.2325,0.0010552225,0.34375,-13.55525,0.6375000000000001,103.34825,0.5025000000000001,0.0,8,1,4
8448,Gandhari,0.963,0.57,182840.0,0.325,0.000714,0.383,-10.668,0.439,167.238,0.962,0.0,1,1,2
8449,Gang Green,9.76e-05,0.3686666666666665,132173.33333333337,0.8173333333333335,0.0058580333333333,0.2387,-13.076666666666668,0.0495333333333333,106.14333333333332,0.5529999999999999,33.666666666666664,11,1,6
